user, eer_local, threshold
Global, 0.03126, 0.79509
u0001, 0.00000, 0.70013
u0002, 0.00000, 0.69940
u0003, 0.00000, 0.91237
u0004, 0.00000, 0.76306
u0005, 0.00000, 1.05954
u0006, 0.00000, 0.96704
u0007, 0.00000, 0.89880
u0008, 0.00000, 1.08869
u0009, 0.00000, 1.18187
u0010, 0.00000, 0.85814
u0011, 0.00000, 1.02662
u0012, 0.00000, 0.88419
u0013, 0.00000, 1.25340
u0014, 0.00000, 0.72560
u0015, 0.04381, 0.63105
u0016, 0.00000, 0.72688
u0017, 0.00000, 0.99640
u0018, 0.00000, 1.00704
u0019, 0.00000, 1.44600
u0020, 0.00000, 1.11166
u0021, 0.00000, 1.06987
u0022, 0.00000, 1.15206
u0023, 0.00000, 0.76531
u0024, 0.00000, 0.95645
u0025, 0.00000, 1.06330
u0026, 0.00000, 1.18401
u0027, 0.00000, 1.29599
u0028, 0.00000, 0.93835
u0029, 0.00000, 1.42066
u0030, 0.00000, 0.90670
u0031, 0.02381, 0.83486
u0032, 0.00000, 0.79568
u0033, 0.00000, 0.92563
u0034, 0.00000, 1.11156
u0035, 0.00000, 0.98169
u0036, 0.00000, 0.89675
u0037, 0.00000, 0.82260
u0038, 0.00000, 1.10854
u0039, 0.00000, 1.03525
u0040, 0.00000, 0.73846
u0041, 0.00000, 0.77360
u0042, 0.00000, 1.22832
u0043, 0.00000, 0.94295
u0044, 0.00000, 0.89149
u0045, 0.00000, 0.99139
u0046, 0.00000, 0.88548
u0047, 0.00000, 0.76573
u0048, 0.00000, 0.91924
u0049, 0.00000, 1.04117
u0050, 0.00000, 0.69604
u0051, 0.00000, 1.00695
u0052, 0.00000, 1.02181
u0053, 0.00000, 0.84868
u0054, 0.00000, 1.00313
u0055, 0.00000, 0.79467
u0056, 0.00000, 0.83993
u0057, 0.00000, 1.09099
u0058, 0.00000, 1.03046
u0059, 0.00000, 0.77233
u0060, 0.00000, 0.76126
u0061, 0.00000, 0.97844
u0062, 0.04381, 0.89034
u0063, 0.08762, 0.58468
u0064, 0.00000, 1.13948
u0065, 0.00000, 0.88376
u0066, 0.00000, 0.74847
u0067, 0.00000, 1.39642
u0068, 0.00000, 1.04249
u0069, 0.00000, 1.04237
u0070, 0.00000, 1.19770
u0071, 0.00000, 0.77739
u0072, 0.00000, 0.73663
u0073, 0.00000, 1.09216
u0074, 0.00000, 0.81430
u0075, 0.00000, 0.91478
u0076, 0.00000, 1.07057
u0077, 0.04381, 0.59963
u0078, 0.00000, 0.97790
u0079, 0.00000, 0.87160
